Time, Latitude(DD), Longitude(DD), Latitude(m), Longitude(m), Altitude(m), Roll(deg), Pitch(deg), Yaw(deg)
1508313349.000000, 48.237913, 16.331837, 5343601.000000, 598890.375000, 259.899994, -0.326770, -1.024849, -63.120895
1508313350.000000, 48.237918, 16.331838, 5343602.000000, 598890.500000, 260.000000, -0.355340, -1.020213, -63.130466
1508313351.000000, 48.237923, 16.331850, 5343602.500000, 598891.375000, 260.399994, -0.355520, -1.051987, -63.228458
1508313352.000000, 48.237922, 16.331850, 5343602.000000, 598891.375000, 260.700012, -0.336981, -1.053775, -63.127110
1508313353.000000, 48.237918, 16.331845, 5343602.000000, 598891.000000, 260.799988, -0.350693, -1.045327, -63.337208
1508313354.000000, 48.237920, 16.331838, 5343602.000000, 598890.500000, 260.600006, -0.368828, -1.050973, -63.128235
1508313355.000000, 48.237920, 16.331832, 5343602.000000, 598890.000000, 260.600006, -0.352371, -1.034943, -63.321564
1508313356.000000, 48.237920, 16.331820, 5343602.000000, 598889.125000, 260.799988, -0.343161, -1.045833, -63.130718
1508313357.000000, 48.237918, 16.331807, 5343602.000000, 598888.125000, 261.100006, -0.355988, -1.039763, -63.312916
1508313358.000000, 48.237917, 16.331800, 5343601.500000, 598887.625000, 261.500000, -0.343951, -1.015912, -63.331387
1508313359.000000, 48.237922, 16.331788, 5343602.000000, 598886.750000, 261.899994, -0.367787, -1.031029, -63.391922
1508313360.000000, 48.237925, 16.331790, 5343602.500000, 598886.875000, 262.299988, -0.369995, -1.053184, -63.392048
